"Category","Konsumsi","Distributor dan Pemasaran","Pemrosesan dan Pengemasan","Pasca Panen dan Penyimpanan","Produksi"
"2000",26.179,10.624,1.459,5.744,6.827
"2001",27.549,10.926,1.391,5.646,6.765
"2002",28.612,10.95,1.449,5.776,6.894
"2003",29.63,11.715,1.48,5.998,7.231
"2004",30.629,12.184,1.456,6.208,7.543
"2005",32.194,12.808,1.444,6.343,7.624
"2006",33.098,13.389,1.526,6.414,7.846
"2007",35.083,14.818,1.629,6.808,8.41
"2008",37.496,15.942,1.701,7.363,8.986
"2009",39.438,17.359,1.713,7.918,9.707
"2010",43.503,18.461,1.945,8.444,10.431
"2011",47.019,21.451,1.991,9.071,11.362
"2012",53.073,18.219,2.043,8.3,10.379
"2013",56.337,19.504,2.097,8.621,10.961
"2014",59.209,19.979,2.22,8.597,10.897
"2015",65.731,21.161,2.105,9.133,11.512
"2016",73.631,21.48,1.755,7.911,10.705
"2017",79.8,23.223,1.77,8.473,12.264
"2018",87.036,30.327,1.867,8.677,12.496
"2019",101.591,19.315,1.988,6.943,10.134
