"Category","Konsumsi","Distributor dan Pemasaran","Pemrosesan dan Pengemasan","Pasca Panen dan Penyimpanan","Produksi"
"2000",5.93,3.234,1.227,6.169,7.053
"2001",6.191,3.308,1.134,6.161,7.13
"2002",6.467,3.472,1.203,6.403,7.561
"2003",6.744,3.923,1.201,6.826,8.215
"2004",7.014,4.017,1.222,7.132,8.621
"2005",7.426,4.213,1.261,7.306,8.862
"2006",7.907,4.463,1.277,7.362,9.245
"2007",8.403,4.73,1.356,7.697,9.674
"2008",8.906,4.99,1.42,8.213,10.279
"2009",9.401,5.318,1.481,8.717,10.843
"2010",10.31,5.418,1.596,8.717,10.607
"2011",11.064,6.172,1.639,9.133,11.387
"2012",12.066,5.763,1.656,9.227,11.468
"2013",12.856,6.057,1.676,9.372,11.637
"2014",13.68,6.159,1.683,9.7,12.281
"2015",14.712,6.346,1.801,9.965,12.385
"2016",15.788,6.137,1.431,8.305,10.837
"2017",16.858,6.54,1.46,8.593,11.658
"2018",18.197,7.659,1.449,9.052,12.33
"2019",19.413,5.871,1.353,7.97,11.18
